Municipality,area,Price,sqft,Year,Elevator,Condition,Energial.,number_of_room,hassauna,floor,total_floor
Sörnäinen,39.0,233000,5974,1939,1,1,E2013,1,1,5,8
Kallio,19.5,154000,7897,1907,0,1,F2013,1,0,2,4
Harju,20.0,109000,5450,1941,1,3,,1,1,1,4
Etelä-haaga,25.0,186000,7440,1961,0,1,F2013,1,0,2,3
Etelä-haaga,32.5,188000,5785,1961,1,2,D2007,1,0,2,4
Sörnäinen,33.0,236000,7152,1927,1,2,D2007,1,0,5,7
Kluuvi,40.0,350000,8750,1906,0,1,G2013,1,0,2,4
Kallio,42.0,228000,5429,1937,1,2,D2007,1,0,6,7
Meilahti,21.0,173500,8262,1945,1,1,E2013,1,0,3,7
Torkkelinmäki,26.0,214000,8231,1928,0,1,F2007,1,0,2,4
Kallio,29.0,174000,6000,1939,1,1,E2013,1,0,3,7
Punavuori,36.9,257000,6965,1910,0,1,E2007,1,0,1,4
Herttoniemi,40.0,142000,3550,1960,0,2,F,1,0,4,4
Kuninkaantammi,29.5,172000,5831,2018,0,1,C2013,1,1,3,4
Malminkartano,33.0,129000,3909,1987,0,1,,1,1,3,3
Käpylä,41.0,215000,5244,1940,0,1,G2013,1,0,2,3
Lassila,31.0,152000,4903,1984,1,2,D2007,1,0,4,5
Vallila,25.5,157000,6157,1940,0,2,,1,0,4,4
Etu-töölö,35.0,252500,7214,1928,1,2,D2012,1,0,5,6
Herttoniemi,42.0,203000,4833,1955,0,1,,1,0,1,4
Etu-töölö,24.0,207000,8625,1928,1,2,C2007,1,0,3,6
Kruununhaka,24.0,195000,8125,1886,1,2,F2013,1,0,2,5
Punavuori,25.0,197500,7900,1959,0,2,,1,0,6,7
Kallio,26.5,177000,6679,1937,1,2,E2007,1,0,5,7
Alppila,36.0,245000,6806,1927,1,2,F2013,1,0,6,7
Vallila,37.0,223000,6027,1938,1,2,E2007,1,0,4,5
Toukola,40.0,202000,5050,1927,0,2,,1,0,2,2
Kruununhaka,43.0,341000,7930,1956,0,1,E2007,2,0,1,4
Itä-pasila,47.0,191000,4064,1976,1,3,,2,0,5,7
Pitäjänmäki,47.5,220500,4642,2001,1,1,E2013,2,0,4,5
Etelä-haaga,48.0,182500,3802,1959,0,1,E2018,2,0,1,3
Pikku huopalahti,48.0,234330,4882,1994,1,2,F2007,2,0,4,5
Konala,49.0,186000,3796,1969,1,2,G2013,2,0,3,4
Oulunkylä,51.0,175000,3431,1964,0,2,G2013,2,0,3,3
Taka-töölö,51.0,300000,5882,1939,1,2,,2,0,1,6
Aurinkolahti,53.0,240000,4528,2006,1,2,E2013,2,1,3,24
Pihlajamäki,60.0,168165,2803,1964,0,1,,2,0,3,4
Ullanlinna,77.0,610000,7922,1926,1,2,E2013,2,0,2,5
Kuninkaantammi,42.5,213000,5012,2019,1,1,C2013,2,0,3,4
Jätkäsaari,43.0,275200,6400,2021,1,1,B2018,2,0,5,5
Vallila,49.0,311000,6347,1953,1,2,E2013,2,0,5,7
Tapanila,51.0,163000,3196,1974,0,1,F2007,2,0,3,3
Oulunkylä,54.0,196000,3630,1965,0,2,B2018,2,1,3,3
Pohjois-haaga,54.5,227000,4165,1985,0,1,D2007,2,1,3,3
Viikki,57.5,250000,4348,2008,1,1,E2013,2,1,3,5
Munkkiniemi,60.0,305000,5083,1937,1,2,D2007,2,0,1,6
Kallio,42.0,289000,6881,1938,1,2,F2013,2,0,6,6
Vallila,45.0,200000,4444,1914,0,2,G2013,2,0,2,2
Vuosaari,51.5,148500,2883,1965,0,1,E2007,2,0,3,3
Puotila,55.0,183000,3327,1961,0,1,F2013,2,0,3,3
Kamppi,63.5,414000,6520,1988,1,2,C2007,2,1,8,8
